Year,Location,Source,Consumption
2000,Rural,Pork,13.28
2000,Rural,Beef,0.52
2000,Rural,Mutton,0.61
2000,Rural,Poultry,2.81
2000,Rural,Other,0
2000,Rural,Eggs,4.77
2000,Rural,Dairy,1.06
2000,Rural,Seafood,3.92
2000,Urban,Pork,16.73
2000,Urban,Beef,1.98
2000,Urban,Mutton,1.35
2000,Urban,Poultry,7.38
2000,Urban,Other,2.41
2000,Urban,Eggs,11.89
2000,Urban,Dairy,11.55
2000,Urban,Seafood,11.74
2001,Rural,Pork,13.35
2001,Rural,Beef,0.55
2001,Rural,Mutton,0.6
2001,Rural,Poultry,2.87
2001,Rural,Other,0.68
2001,Rural,Eggs,4.72
2001,Rural,Dairy,1.2
2001,Rural,Seafood,4.12
2001,Urban,Pork,15.95
2001,Urban,Beef,1.92
2001,Urban,Mutton,1.25
2001,Urban,Poultry,7.31
2001,Urban,Other,2.51
2001,Urban,Eggs,11.1
2001,Urban,Dairy,13.76
2001,Urban,Seafood,10.33
2002,Rural,Pork,13.7
2002,Rural,Beef,0.52
2002,Rural,Mutton,0.65
2002,Rural,Poultry,2.91
2002,Rural,Other,0.64
2002,Rural,Eggs,4.66
2002,Rural,Dairy,1.19
2002,Rural,Seafood,4.36
2002,Urban,Pork,20.28
2002,Urban,Beef,1.93
2002,Urban,Mutton,1.08
2002,Urban,Poultry,9.22
2002,Urban,Other,3.72
2002,Urban,Eggs,10.56
2002,Urban,Dairy,18.12
2002,Urban,Seafood,13.2
2003,Rural,Pork,13.8
2003,Rural,Beef,0.5
2003,Rural,Mutton,0.8
2003,Rural,Poultry,3.2
2003,Rural,Other,1.43
2003,Rural,Eggs,4.81
2003,Rural,Dairy,1.71
2003,Rural,Seafood,4.65
2003,Urban,Pork,20.43
2003,Urban,Beef,1.98
2003,Urban,Mutton,1.33
2003,Urban,Poultry,9.2
2003,Urban,Other,3.84
2003,Urban,Eggs,11.19
2003,Urban,Dairy,21.71
2003,Urban,Seafood,13.35
2004,Rural,Pork,13.5
2004,Rural,Beef,0.5
2004,Rural,Mutton,0.8
2004,Rural,Poultry,3.1
2004,Rural,Other,1.4
2004,Rural,Eggs,4.6
2004,Rural,Dairy,2
2004,Rural,Seafood,4.5
2004,Urban,Pork,19.52
2004,Urban,Beef,2.42
2004,Urban,Mutton,1.5
2004,Urban,Poultry,8.42
2004,Urban,Other,3.86
2004,Urban,Eggs,10.61
2004,Urban,Dairy,22.19
2004,Urban,Seafood,12.04
2005,Rural,Pork,15.6
2005,Rural,Beef,0.6
2005,Rural,Mutton,0.8
2005,Rural,Poultry,3.7
2005,Rural,Other,1.7
2005,Rural,Eggs,4.7
2005,Rural,Dairy,2.9
2005,Rural,Seafood,4.9
2005,Urban,Pork,20.15
2005,Urban,Beef,2.28
2005,Urban,Mutton,1.43
2005,Urban,Poultry,8.97
2005,Urban,Other,3.8
2005,Urban,Eggs,10.4
2005,Urban,Dairy,21.67
2005,Urban,Seafood,12.55
2006,Rural,Pork,15.5
2006,Rural,Beef,0.7
2006,Rural,Mutton,0.9
2006,Rural,Poultry,3.5
2006,Rural,Other,1.8
2006,Rural,Eggs,5
2006,Rural,Dairy,3.2
2006,Rural,Seafood,5
2006,Urban,Pork,20
2006,Urban,Beef,2.41
2006,Urban,Mutton,1.37
2006,Urban,Poultry,8.34
2006,Urban,Other,3.8
2006,Urban,Eggs,10.41
2006,Urban,Dairy,22.54
2006,Urban,Seafood,12.95
2007,Rural,Pork,13.4
2007,Rural,Beef,0.7
2007,Rural,Mutton,0.8
2007,Rural,Poultry,3.9
2007,Rural,Other,1.8
2007,Rural,Eggs,4.7
2007,Rural,Dairy,3.5
2007,Rural,Seafood,5.4
2007,Urban,Pork,18.21
2007,Urban,Beef,2.59
2007,Urban,Mutton,1.34
2007,Urban,Poultry,8.34
2007,Urban,Other,3.8
2007,Urban,Eggs,10.33
2007,Urban,Dairy,22.17
2007,Urban,Seafood,14.2
2008,Rural,Pork,12.6
2008,Rural,Beef,0.6
2008,Rural,Mutton,0.7
2008,Rural,Poultry,4.4
2008,Rural,Other,1.8
2008,Rural,Eggs,5.4
2008,Rural,Dairy,3.4
2008,Rural,Seafood,5.2
2008,Urban,Pork,19.26
2008,Urban,Beef,2.22
2008,Urban,Mutton,1.22
2008,Urban,Poultry,8.34
2008,Urban,Other,3.8
2008,Urban,Eggs,10.74
2008,Urban,Dairy,19.3
2008,Urban,Seafood,14
2009,Rural,Pork,13.96
2009,Rural,Beef,0.56
2009,Rural,Mutton,0.81
2009,Rural,Poultry,4.25
2009,Rural,Other,1.95
2009,Rural,Eggs,5.32
2009,Rural,Dairy,3.6
2009,Rural,Seafood,5.27
2009,Urban,Pork,20.5
2009,Urban,Beef,2.38
2009,Urban,Mutton,1.32
2009,Urban,Poultry,8.34
2009,Urban,Other,3.8
2009,Urban,Eggs,10.57
2009,Urban,Dairy,19.27
2009,Urban,Seafood,14.3
2010,Rural,Pork,14.4
2010,Rural,Beef,0.63
2010,Rural,Mutton,0.8
2010,Rural,Poultry,4.17
2010,Rural,Other,2.14
2010,Rural,Eggs,5.12
2010,Rural,Dairy,3.55
2010,Rural,Seafood,5.15
2010,Urban,Pork,20.73
2010,Urban,Beef,2.53
2010,Urban,Mutton,1.25
2010,Urban,Poultry,8.34
2010,Urban,Other,3.8
2010,Urban,Eggs,10
2010,Urban,Dairy,18.1
2010,Urban,Seafood,14.3
